timestamp,lat,log,alt,roll,pitch,yaw,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,act_vx,act_vy,act_yr,capacity,vol,cur,power
202600741,0.634769,2.223,89.0379,0.0033707,-0.00943256,0.859595,0.016599,0.131915,-0.018974,0.0979161,0.0122204,0.01674,-2,-1.4,0,12150,48.897,25.059,12253.1
202701262,0.634769,2.223,89.0347,0.000767114,-0.0106558,0.859367,0.0160144,0.129372,-0.0193554,0.0257181,0.0402692,0.0302759,-2,-1.4,0,12150,48.897,25.059,12253.1
202801695,0.634769,2.223,89.0294,-0.00447381,-0.00809365,0.858403,0.0291798,0.130793,-0.0218519,0.172586,-0.0791631,-0.136635,-2,-1.4,0,12150,48.897,25.059,12253.1
202902037,0.634769,2.223,89.0212,-0.0797646,0.118809,0.852819,0.031801,0.126258,0.0295399,-0.224682,-0.150455,0.464162,-2,-1.4,0,12150,48.897,25.059,12253.1
203002311,0.634769,2.223,89.0184,-0.166158,0.234982,0.839698,0.000393653,-0.0839788,0.0042672,-1.86356,-1.22863,-0.101785,-2,-1.4,0,12150,48.897,25.059,12253.1
203102604,0.634769,2.223,89.0166,-0.221718,0.303283,0.825939,-0.0394745,-0.415457,-0.0364439,-2.60691,-1.75506,1.2197,-2,-1.4,0,12150,48.897,25.059,12253.1
203202897,0.634769,2.223,89.0128,-0.229275,0.308824,0.825093,-0.0796098,-0.826058,-0.0391724,-2.99101,-2.13949,1.59965,-2,-1.4,0,12150,48.897,25.059,12253.1
203303214,0.634769,2.223,89.015,-0.202879,0.278706,0.8324,-0.109669,-1.21311,-0.0196743,-2.73202,-1.98714,1.46073,-2,-1.4,0,12150,48.897,25.059,12253.1
203403666,0.634769,2.223,89.0179,-0.169015,0.235458,0.840321,-0.146856,-1.54244,-0.0124811,-2.47469,-1.68139,0.946584,-2,-1.4,0,12150,48.897,25.059,12253.1
203504068,0.634769,2.223,89.0197,-0.135888,0.189513,0.847051,-0.171049,-1.80753,-0.000265129,-1.94122,-1.39327,0.679991,-2,-1.4,0,12150,48.882,25.163,12300.2
203604495,0.634769,2.223,89.0179,-0.104101,0.147035,0.852072,-0.187532,-2.01639,0.00702171,-1.49464,-1.10977,0.199132,3.1,-3.7,0,12150,48.882,25.163,12300.2
203704804,0.634769,2.223,89.0171,-0.0907564,0.0816746,0.852753,-0.206522,-2.15631,-0.00319032,-1.15339,-0.598839,0.175156,3.1,-3.7,0,12150,48.882,25.163,12300.2
203805174,0.634769,2.223,89.0122,-0.131863,-0.134678,0.86326,-0.173286,-2.24732,0.0196833,0.143248,-0.81073,0.483909,3.1,-3.7,0,12150,48.882,25.163,12300.2
203905533,0.634769,2.223,89.0131,-0.160147,-0.286864,0.881978,0.0710592,-2.157,0.00219725,2.50541,-1.11557,0.124888,3.1,-3.7,0,12150,48.882,25.163,12300.2
204005893,0.634769,2.223,89.0116,-0.184335,-0.371981,0.896187,0.405327,-1.99446,-0.0528946,3.41368,-1.27427,1.43281,3.1,-3.7,0,12150,48.882,25.163,12300.2
204106234,0.634769,2.223,88.995,-0.197825,-0.405571,0.904058,0.834125,-1.77537,-0.0438942,3.96313,-1.45476,2.43095,3.1,-3.7,0,12150,48.882,25.163,12300.2
204206595,0.634769,2.223,88.9708,-0.206924,-0.407517,0.906558,1.28098,-1.53485,-0.0319574,4.13189,-1.47891,2.42202,3.1,-3.7,0,12150,48.882,25.163,12300.2
204306939,0.634769,2.223,88.9493,-0.21295,-0.392903,0.90624,1.72794,-1.30994,-0.0282822,3.97136,-1.58518,2.42931,3.1,-3.7,0,12150,48.882,25.163,12300.2
204407289,0.634769,2.223,88.9328,-0.218062,-0.374904,0.904851,2.15745,-1.11361,-0.016276,3.74205,-1.6519,2.17431,3.1,-3.7,0,12150,48.882,25.163,12300.2
204507624,0.634769,2.223,88.9214,-0.22272,-0.361054,0.90357,2.57339,-0.940314,-0.00262232,3.50446,-1.73168,2.00422,3.1,-3.7,0,12150,48.882,25.163,12300.2
204608048,0.634769,2.223,88.9218,-0.228945,-0.349431,0.902129,2.98765,-0.782483,0.00425552,3.37674,-1.75439,1.77425,-2.4,-3.4,0,12150,48.882,25.163,12300.2
204708442,0.634769,2.223,88.9285,-0.213144,-0.277765,0.892937,3.39549,-0.633567,0.0175577,3.26541,-1.81572,1.93488,-2.4,-3.4,0,12150,48.882,25.163,12300.2
204808800,0.634769,2.223,88.9393,-0.149178,0.00183314,0.87203,3.73128,-0.558804,0.124265,1.96265,-1.6895,1.32637,-2.4,-3.4,0,12150,48.882,25.163,12300.2
204909102,0.634769,2.223,88.9568,-0.0834174,0.260966,0.855642,3.72316,-0.726613,0.14099,-1.94298,-0.913349,-0.417197,-2.4,-3.4,0,12150,48.882,25.163,12300.2
