timestamp,lat,log,alt,roll,pitch,yaw,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,act_vx,act_vy,act_yr,capacity,vol,cur,power
146931672,0.634769,2.223,92.6586,-0.0317896,-0.0251382,0.937166,-0.014191,-0.0569314,0.00329213,0.0984843,0.172286,-0.00923259,4.8,-2.6,0,12275,48.89,23.382,11431.5
147032336,0.634769,2.223,92.6497,-0.0320583,-0.0284866,0.937164,-0.00440917,-0.0581224,0.00759112,0.136908,-0.0401223,-0.108181,4.8,-2.6,0,12275,48.89,23.382,11431.5
147132715,0.634769,2.223,92.6554,-0.0354223,-0.0369837,0.936119,-0.0086158,-0.043353,-0.00795703,0.18779,0.113921,-0.251796,4.8,-2.6,0,12275,48.89,23.382,11431.5
147233070,0.634769,2.223,92.6496,-0.0881797,-0.138002,0.940416,0.0123628,-0.0165736,0.0147449,0.542896,-0.113615,0.34787,4.8,-2.6,0,12275,48.89,23.382,11431.5
147333430,0.634769,2.223,92.6431,-0.161775,-0.258527,0.956706,0.174064,0.0733813,-0.02609,1.85568,-0.771438,0.076074,4.8,-2.6,0,12275,48.89,23.382,11431.5
147433785,0.634769,2.223,92.6354,-0.20316,-0.324634,0.969044,0.448215,0.213159,-0.0530795,2.82723,-1.30612,0.870424,4.8,-2.6,0,12275,48.89,23.382,11431.5
147534130,0.634769,2.223,92.643,-0.230188,-0.363581,0.97852,0.805307,0.382898,-0.0482584,3.36006,-1.70222,1.32338,4.8,-2.6,0,12275,48.89,23.382,11431.5
147634512,0.634769,2.223,92.6613,-0.237479,-0.373037,0.981034,1.18486,0.565648,-0.0427166,3.24801,-1.65644,1.88385,4.8,-2.6,0,12275,48.89,23.382,11431.5
147734816,0.634769,2.223,92.6656,-0.232405,-0.368415,0.980985,1.56166,0.749351,-0.0234903,3.28495,-1.63821,1.77354,4.8,-2.6,0,12275,48.89,23.382,11431.5
147835046,0.634769,2.223,92.6444,-0.22594,-0.360204,0.980689,1.91839,0.925173,-0.0196167,3.2871,-1.6425,1.23048,4.8,-2.6,0,12275,48.89,23.382,11431.5
147935402,0.634769,2.223,92.6418,-0.221441,-0.351767,0.980407,2.27144,1.09762,-0.0124003,3.12089,-1.59179,1.66283,3.1,-1.2,0,12275,48.87,23.591,11528.9
148035778,0.634769,2.223,92.661,-0.200522,-0.32098,0.973635,2.61168,1.26596,0.00533538,3.1789,-1.64878,1.07246,3.1,-1.2,0,12275,48.87,23.591,11528.9
148136181,0.634769,2.223,92.6547,-0.120816,-0.233529,0.950895,2.88853,1.40881,0.0438367,2.28092,-1.01407,1.17617,3.1,-1.2,0,12275,48.87,23.591,11528.9
148236541,0.634769,2.223,92.6536,-0.0475849,-0.147064,0.940436,3.01769,1.50803,0.0432644,1.38809,-0.267377,-0.0170357,3.1,-1.2,0,12275,48.87,23.591,11528.9
148336879,0.634769,2.223,92.6603,-0.00214591,-0.0846512,0.938548,3.04197,1.58219,0.0235694,0.620746,0.425042,0.0776616,3.1,-1.2,0,12275,48.87,23.591,11528.9
148437273,0.634769,2.223,92.6466,0.0123395,-0.0496109,0.939814,3.01755,1.62744,0.0127258,0.11721,0.565555,0.113403,3.1,-1.2,0,12275,48.87,23.591,11528.9
148537632,0.634769,2.223,92.6362,0.00969326,-0.0360678,0.940342,2.95959,1.6488,-0.0116391,-0.140395,0.73688,-0.256423,3.1,-1.2,0,12275,48.87,23.591,11528.9
148638003,0.63477,2.223,92.6196,-0.00111217,-0.0324479,0.939854,2.91143,1.66062,-0.0162291,-0.198993,0.517655,0.225004,3.1,-1.2,0,12275,48.87,23.591,11528.9
148738348,0.63477,2.223,92.6129,-0.00884246,-0.0316968,0.939944,2.86525,1.66747,-0.0188978,-0.16615,0.537891,-0.21401,3.1,-1.2,0,12275,48.87,23.591,11528.9
148838612,0.63477,2.223,92.6225,-0.0139273,-0.0371084,0.939983,2.8211,1.66105,-0.0257161,-0.1983,0.3891,0.0240285,3.1,-1.2,0,12275,48.87,23.591,11528.9
148939034,0.63477,2.223,92.629,-0.0182433,-0.0468894,0.940414,2.78696,1.65437,-0.0182354,-0.156103,0.278011,0.239652,-4.2,4.2,0,12272,48.822,24.777,12096.6
149039383,0.63477,2.223,92.6211,-0.0167594,-0.0385759,0.942336,2.76141,1.66137,-0.0160608,0.00922978,0.286708,0.00485639,-4.2,4.2,0,12272,48.822,24.777,12096.6
149139736,0.63477,2.223,92.6156,0.0892797,0.126012,0.946434,2.72779,1.65219,0.0425488,-0.41219,0.377324,0.362132,-4.2,4.2,0,12272,48.822,24.777,12096.6
149240091,0.63477,2.223,92.6469,0.208888,0.259343,0.96594,2.43604,1.54121,0.038078,-2.6092,1.90422,0.0766258,-4.2,4.2,0,12272,48.822,24.777,12096.6
149340448,0.63477,2.223,92.6935,0.292724,0.344013,0.988909,2.0023,1.41908,-0.0526919,-3.43298,2.81278,1.10473,-4.2,4.2,0,12272,48.822,24.777,12096.6
149440741,0.63477,2.223,92.6958,0.337493,0.387684,1.00541,1.45221,1.26981,-0.0976213,-3.98547,3.31118,2.37753,-4.2,4.2,0,12272,48.822,24.777,12096.6
149541122,0.63477,2.223,92.6796,0.34271,0.403463,1.01226,0.845846,1.11192,-0.122248,-4.1533,3.52474,2.82672,-4.2,4.2,0,12272,48.822,24.777,12096.6
149641417,0.63477,2.223,92.6572,0.318276,0.405567,1.01116,0.233879,0.949677,-0.138309,-4.05995,3.42281,3.26864,-4.2,4.2,0,12272,48.822,24.777,12096.6
149741759,0.63477,2.223,92.6199,0.28664,0.398726,1.00706,-0.37914,0.742245,-0.128108,-4.22095,3.04728,3.54025,-4.2,4.2,0,12272,48.822,24.777,12096.6
149842121,0.63477,2.223,92.5722,0.264536,0.37556,0.997579,-0.954494,0.523302,-0.0831427,-4.13573,2.82078,3.10934,-4.2,4.2,0,12272,48.822,24.777,12096.6
