timestamp,lat,log,alt,roll,pitch,yaw,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,act_vx,act_vy,act_yr,capacity,vol,cur,power
940216147,0.63477,2.223,116.944,-0.00991616,0.0348584,0.957278,-0.0947392,-0.0262978,0.021908,-0.0433803,0.0147584,0.0197818,0,3.3,0,7619,45.958,25.986,11942.6
940316485,0.63477,2.223,116.942,-0.00905244,0.0345806,0.957365,-0.0969387,-0.0280755,0.0162727,-0.107184,0.0438729,-0.0346076,0,3.3,0,7619,45.958,25.986,11942.6
940416853,0.63477,2.223,116.939,-0.00761615,0.0336184,0.956635,-0.0968304,-0.0283128,0.0187552,-0.0530493,0.0545382,0.101761,0,3.3,0,7619,45.958,25.986,11942.6
940517218,0.63477,2.223,116.931,0.106809,0.0248273,0.958808,-0.0986925,-0.023449,0.0624739,0.0101133,0.246938,0.415403,0,3.3,0,7619,45.958,25.986,11942.6
940617528,0.63477,2.223,116.925,0.269399,0.0151521,0.961084,-0.231285,0.0956291,0.0248337,0.144205,2.11884,-0.342045,0,3.3,0,7619,45.958,25.986,11942.6
940717900,0.63477,2.223,116.917,0.374145,0.0148061,0.961173,-0.475536,0.306064,-0.0349756,0.207737,3.16788,1.1457,0,3.3,0,7619,45.958,25.986,11942.6
940818225,0.63477,2.223,116.908,0.428347,0.0195727,0.961865,-0.810418,0.57777,-0.0296558,0.215058,3.87751,2.03671,0,3.3,0,7619,45.958,25.986,11942.6
940918570,0.63477,2.223,116.902,0.432481,0.0249048,0.962008,-1.19295,0.862883,-0.0156344,0.0874589,4.21661,2.22711,0,3.3,0,7619,45.949,25.932,11915.5
941018981,0.63477,2.223,116.896,0.378887,0.0293417,0.961877,-1.56474,1.14217,0.021063,0.074151,4.02325,2.04445,0,3.3,0,7619,45.949,25.932,11915.5
941119395,0.634769,2.223,116.897,0.305674,0.033405,0.962,-1.86738,1.36823,0.0589146,0.0558162,3.30364,1.38712,0,3.3,0,7619,45.949,25.932,11915.5
941219799,0.634769,2.223,116.899,0.235784,0.0371932,0.961822,-2.09508,1.5327,0.0707502,-0.0199825,2.58054,0.636577,0,3.3,0,7619,45.949,25.932,11915.5
941321602,0.634769,2.223,116.906,0.178922,0.0392022,0.961492,-2.25696,1.65292,0.0681291,-0.0128244,1.82772,0.323039,0,3.3,0,7619,45.949,25.932,11915.5
941421978,0.634769,2.223,116.923,0.140265,0.0406401,0.961365,-2.37958,1.74019,0.0721985,-0.0434641,1.3103,0.231323,0,3.3,0,7619,45.949,25.932,11915.5
